31557600.0
node 96    -630265   1.77553e+06   4.35584e+06      2.11888e+06   -1.07583e+06   -4.2872e+06      2.51723e+06   -1.25094e+06   -5.2037e+06
node 97    -1.11156e+06   1.48321e+06   2.96893e+06      2.14604e+06   -1.03414e+06   -4.32163e+06      2.58501e+06   -1.26096e+06   -5.19969e+06
node 98    -1.42804e+06   1.13259e+06   3.7054e+06      2.21849e+06   -1.07774e+06   -4.40353e+06      2.67312e+06   -1.29551e+06   -5.26615e+06
node 99    -1.55992e+06   1.84661e+06   3.62682e+06      2.10436e+06   -1.10202e+06   -4.12849e+06      2.52162e+06   -1.31581e+06   -5.00593e+06
node 100    -70493.5   1.59129e+06   3.11654e+06      2.06567e+06   -974413   -4.38788e+06      2.46809e+06   -1.19794e+06   -5.2616e+06
node 101    -533887   2.18592e+06   2.6808e+06      1.96283e+06   -1.02102e+06   -4.13418e+06      2.34385e+06   -1.24021e+06   -5.03002e+06
node 102    3.64041e+06   1.45774e+06   -1.10235e+06      2.17385e+06   -578339   -4.09638e+06      2.58613e+06   -694566   -4.99549e+06
node 103    3.59466e+06   1.74776e+06   13251      1.99471e+06   -606631   -3.98063e+06      2.36728e+06   -730860   -4.85183e+06
node 104    4.45119e+06   1.86704e+06   -498221      2.05316e+06   -520511   -4.05693e+06      2.43933e+06   -626680   -4.94395e+06
node 105    3.29533e+06   2.30193e+06   -685289      2.05009e+06   -595323   -4.10515e+06      2.43681e+06   -717334   -5.00752e+06
node 106    4.5782e+06   806132   -740449      2.18185e+06   -518344   -4.05978e+06      2.59438e+06   -621420   -4.94722e+06
node 107    3.67254e+06   510254   -1.60253e+06      2.32488e+06   -609155   -4.14819e+06      2.76866e+06   -729735   -5.05938e+06
node 108    4.15725e+06   954789   -2.22628e+06      2.29306e+06   -544606   -4.18013e+06      2.73176e+06   -652402   -5.09777e+06
node 109    4.13269e+06   2.13696e+06   -1.6139e+06      2.13439e+06   -514837   -4.13699e+06      2.54049e+06   -618760   -5.04488e+06
node 110    3.20077e+06   1.25176e+06   -2.30352e+06      2.27522e+06   -601834   -4.22834e+06      2.71061e+06   -721237   -5.15967e+06
node 111    3.07922e+06   2.39834e+06   -1.42858e+06      2.1014e+06   -585091   -4.16174e+06      2.50081e+06   -703258   -5.0789e+06
node 112    3.29434e+06   961057   -688266      2.19137e+06   -631438   -4.02291e+06      2.60596e+06   -757926   -4.90567e+06
node 113    4.81786e+06   1.77581e+06   -1.28705e+06      2.14608e+06   -471785   -4.10814e+06      2.55338e+06   -566808   -5.00671e+06
node 114    -2.02354e+06   3.26065e+06   875393      1.27961e+06   -592066   -2.26751e+06      1.52585e+06   -710701   -2.77359e+06
node 115    -3.23633e+06   3.56999e+06   436939      1.39084e+06   -774303   -3.6191e+06      1.65638e+06   -932341   -4.41995e+06
node 116    -2.38483e+06   3.93387e+06   743046      1.47905e+06   -740740   -3.19746e+06      1.76088e+06   -889454   -3.91154e+06
node 117    -2.34324e+06   3.41376e+06   40513.9      1.32473e+06   -583013   -2.69852e+06      1.57635e+06   -700612   -3.29913e+06
node 118    -2.52804e+06   3.62084e+06   1.91478e+06      1.65692e+06   -996765   -3.32649e+06      1.97645e+06   -1.19667e+06   -4.06943e+06
node 119    -3.0923e+06   2.63763e+06   1.17313e+06      1.56565e+06   -1.00679e+06   -3.31458e+06      1.8736e+06   -1.21162e+06   -4.04132e+06
node 120    -2.3973e+06   2.27652e+06   1.14908e+06      1.63827e+06   -776433   -2.82006e+06      1.9618e+06   -935509   -3.43594e+06
node 121    -2.13638e+06   2.74234e+06   406754      0   0   0      0   0   0
node 122    -1.60215e+06   3.68284e+06   303810      1.59712e+06   -906658   -3.36683e+06      1.90133e+06   -1.08707e+06   -4.12019e+06
node 123    -1.37195e+06   3.15667e+06   634958      1.29457e+06   -891105   -3.23723e+06      1.54223e+06   -1.06975e+06   -3.96038e+06
node 124    -2.28667e+06   -2.49108e+06   -2.19331e+06      2.17949e+06   -1.17043e+06   -4.09107e+06      2.59311e+06   -1.4018e+06   -4.99156e+06
node 125    -2.46926e+06   -3.06405e+06   -1.50672e+06      2.41658e+06   -1.1988e+06   -4.19627e+06      2.87786e+06   -1.43453e+06   -5.11874e+06
node 126    -3.27023e+06   -2.62091e+06   -2.4517e+06      2.27012e+06   -1.22469e+06   -4.21012e+06      2.7e+06   -1.46644e+06   -5.13225e+06
node 127    -2.88496e+06   -3.48625e+06   -2.66645e+06      2.36272e+06   -1.23823e+06   -4.21088e+06      2.81021e+06   -1.48236e+06   -5.136e+06
node 128    -2.36901e+06   -1.30462e+06   -2.22166e+06      2.13818e+06   -1.08358e+06   -4.11306e+06      2.54258e+06   -1.29886e+06   -5.0186e+06
node 129    -2.36908e+06   -2.03293e+06   -1.58261e+06      2.28926e+06   -1.14648e+06   -4.15646e+06      2.72551e+06   -1.37305e+06   -5.07033e+06
node 130    -1.52726e+06   -2.49379e+06   -1.92315e+06      2.15724e+06   -1.11448e+06   -3.93189e+06      2.56762e+06   -1.33561e+06   -4.80071e+06
node 131    -1.80884e+06   -2.20403e+06   -2.83035e+06      1.98187e+06   -1.08105e+06   -3.92811e+06      2.35695e+06   -1.29529e+06   -4.79495e+06
node 132    -1.93798e+06   -3.64809e+06   -2.4648e+06      2.40033e+06   -1.16003e+06   -4.13566e+06      2.85653e+06   -1.38899e+06   -5.0486e+06
