  x        y       z         ux            uy          uz
24478.3   4819.26   0      -0.0592274   -0.0537071   0.00118491
24478.3   5421.67   0      -0.065068   -0.0555707   0.00138534
24478.3   6024.08   0      -0.0703937   -0.0574937   0.00161457
24478.3   6626.49   0      -0.0751986   -0.0594812   0.00186564
24478.3   7228.9   0      -0.0794902   -0.0614628   0.0021393
24478.3   7831.31   0      -0.0832179   -0.0634154   0.00243832
24478.3   8433.72   0      -0.0864311   -0.0653271   0.00275612
24478.3   9036.13   0      -0.0891343   -0.0671335   0.00308733
24478.3   9638.54   0      -0.0913294   -0.0688522   0.00344019
24478.3   10241   0      -0.0930933   -0.070436   0.00380402
24478.3   10843.4   0      -0.0943983   -0.0718687   0.00416572
24478.3   11445.8   0      -0.0952915   -0.0731696   0.00453263
24478.3   12048.2   0      -0.0958101   -0.0742895   0.00490485
24478.3   12650.6   0      -0.0959537   -0.0752508   0.0052741
24478.3   13253   0      -0.0957913   -0.0760365   0.0056445
24478.3   13855.4   0      -0.095325   -0.0766362   0.00599559
24478.3   14457.8   0      -0.0945841   -0.0770767   0.00633753
24478.3   15060.2   0      -0.0936256   -0.0773406   0.00666206
24478.3   15662.6   0      -0.0924473   -0.0774508   0.00696569
24478.3   16265   0      -0.0911066   -0.07741   0.00725965
24478.3   16867.5   0      -0.0896082   -0.0772126   0.00752741
24478.3   17469.9   0      -0.087969   -0.0768861   0.00777784
24478.3   18072.3   0      -0.0862396   -0.0764295   0.00801112
24478.3   18674.7   0      -0.0844137   -0.0758529   0.00822513
24478.3   19277.1   0      -0.0825105   -0.0751652   0.00842215
24478.3   19879.5   0      -0.0805684   -0.0743831   0.00859267
24478.3   20481.9   0      -0.0785919   -0.0735081   0.00874361
24478.3   21084.3   0      -0.0765872   -0.0725548   0.00887322
24478.3   21686.7   0      -0.0745756   -0.0715345   0.00899042
24478.9   22288.9   0      -0.0725503   -0.0704489   0.00908662
24478.3   22892.7   0      -0.0705411   -0.0693099   0.00916433
24475   23508   0      -0.0685038   -0.0681111   0.00922635
24517.8   24110.9   0      -0.0664561   -0.0667552   0.00927563
24123.6   24505.8   0      -0.0658641   -0.0671316   0.00926622
23523.2   24459.5   0      -0.0670206   -0.0690544   0.00923114
22905.2   24460.6   0      -0.0680416   -0.0709581   0.00916854
22295.3   24465.9   0      -0.0689546   -0.0727929   0.00910431
21688.9   24472.7   0      -0.0697862   -0.0746059   0.00901738
21084.9   24476.2   0      -0.0705573   -0.0763843   0.00891111
20482   24477.6   0      -0.0712444   -0.078122   0.00879228
19879.5   24478.1   0      -0.071857   -0.0798094   0.00865476
19277.1   24478.3   0      -0.072369   -0.0814116   0.00850119
18674.7   24478.3   0      -0.0727815   -0.0829365   0.00832952
18072.3   24478.3   0      -0.0730842   -0.084344   0.00814088
17469.9   24478.3   0      -0.073266   -0.0856414   0.00794101
16867.5   24478.3   0      -0.073339   -0.0868017   0.00772336
16265.1   24478.3   0      -0.0732816   -0.0877844   0.00749079
15662.7   24478.3   0      -0.0730922   -0.0886041   0.00724334
15060.3   24478.3   0      -0.0727788   -0.0892138   0.00698131
14457.8   24478.3   0      -0.0723201   -0.0895923   0.00670784
13855.4   24478.3   0      -0.0717321   -0.0897438   0.00642405
13253   24478.3   0      -0.0710173   -0.0896082   0.00612723
12650.6   24478.3   0      -0.0701605   -0.0891849   0.00582388
12048.2   24478.3   0      -0.0691937   -0.0884452   0.00551267
11445.8   24478.3   0      -0.0680953   -0.0873563   0.00520274
10843.4   24478.3   0      -0.0668981   -0.0859408   0.00488825
10241   24478.3   0      -0.0656174   -0.0841314   0.00457702
9638.57   24478.3   0      -0.064243   -0.0819337   0.00426527
9036.16   24478.3   0      -0.062829   -0.0793518   0.00395701
8433.75   24478.3   0      -0.0613514   -0.0763529   0.00365049
7831.34   24478.3   0      -0.0598509   -0.0729893   0.00335265
7228.93   24478.3   0      -0.0583593   -0.0692209   0.00305662
6626.52   24478.3   0      -0.0568706   -0.0650544   0.00276628
6024.11   24478.3   0      -0.0554384   -0.0605194   0.00247653
5421.7   24478.3   0      -0.0540475   -0.0555883   0.00219668
4819.29   24478.3   0      -0.0527329   -0.0503419   0.00192667
4216.88   24478.3   0      -0.0515319   -0.0447691   0.00166127
3614.47   24478.3   0      -0.0504319   -0.0388817   0.00141261
3012.06   24478.3   0      -0.0494825   -0.0327625   0.00116978
2409.65   24478.3   0      -0.0486788   -0.0263935   0.000936434
1807.24   24478.3   0      -0.0480357   -0.0198627   0.000710988
1204.83   24478.3   0      -0.047584   -0.0132103   0.00048957
602.423   24478.3   0      -0.0473103   -0.00643713   0.000272683
0.0132532   24478.3   0      -0.0472235   0.000347658   5.42639e-05
