
Model of Maule fault in Chile
3 fixed CMB points

 Gravity changes  -- element group #1 

 Simulation time = 0.000000 ; step size = 0

 coordinates                          accelerations . . .->      geoid change & gradients
   X             Y            Z       dg_x        dg_y      dg_z      dg_net        dN    P_zx     P_zy     P_zz
3.1046e+06  -1.43414e+06  473442      2.31482e-10  -8.95813e-11  -3.85509e-10     -9.82     -0.000340469    -4.93889e-17     4.7737e-17     5.42469e-17
2.2443e+06  -2.61253e+06  -384941      1.11946e-10  -1.25314e-10  -2.97035e-10     -9.82     -0.000311257    -4.30482e-18     3.97653e-17     5.76487e-17
942683  -2.75972e+06  1.879e+06      1.15068e-10  -4.33513e-10  -7.06455e-10     -9.82     -0.00043229    -2.65823e-17     1.95998e-16     1.32101e-16
-415768  -3.15231e+06  -1.35485e+06      -6.02195e-11  -8.59407e-11  -2.35797e-10     -9.82     -0.000280956    7.74365e-17     7.95517e-17     5.1906e-17
534602  308653  -3.38846e+06      7.73697e-15  -3.08758e-13  -2.8734e-10     -9.82     -0.000252665    2.605e-17     4.51661e-17     -1.23472e-16
-930726  2.33288e+06  2.38727e+06      -2.96784e-10  6.79873e-10  -9.97341e-10     -9.82     -0.000508623    1.93774e-16     -4.63289e-16     3.02835e-16
1.60564e+06  2.20596e+06  2.13544e+06      4.0019e-10  5.41586e-10  -8.23418e-10     -9.82     -0.000467087    -9.52546e-17     -3.89956e-16     1.85126e-16
879704  3.35237e+06  78409.7      6.73938e-11  1.72576e-10  -3.34651e-10     -9.82     -0.000329446    4.6994e-17     -4.92863e-17     3.70416e-17
343854  2.82509e+06  1.98629e+06      7.09393e-11  5.27683e-10  -7.64394e-10     -9.82     -0.000452046    -9.32287e-18     -1.99212e-16     6.85635e-17
1.44867e+06  2.83356e+06  1.35975e+06      1.98769e-10  3.20315e-10  -5.68597e-10     -9.82     -0.000392749    -1.14916e-17     1.43282e-17     2.36007e-16
-1.27089e+06  3.04678e+06  -1.05161e+06      -7.34381e-11  1.02641e-10  -2.79856e-10     -9.82     -0.000297064    -5.29914e-18     -4.3301e-17     3.29223e-17
3.21998e+06  664633  -1.08019e+06      1.70532e-10  3.66423e-11  -2.53122e-10     -9.82     -0.000290817    -2.68619e-17     2.1789e-17     4.7908e-17
3.36889e+06  430836  -677752      1.85261e-10  2.78756e-11  -2.71869e-10     -9.82     -0.000300008    -2.63762e-17     -4.12074e-17     4.98066e-17
3.39606e+06  -148830  -614437      1.88607e-10  1.74482e-12  -2.80046e-10     -9.82     -0.000302255    -3.66259e-17     1.90295e-17     4.18142e-17
